REF,Company Location,Review Date,Country of Bean Origin,Specific Bean Origin or Bar Name,Cocoa Percent,Ingredients,Most Memorable Characteristics,Rating,Continent_company,Sub-region_company,Continent_origin,Sub-region_origin,Manufacturer,Company
1125.0,U.S.A.,2013.0,Venezuela,Sur del Lago,60.0,"4- B,S,C,L","sweet, moldy, off",2.5,Americas,Northern America,Americas,Latin America and the Caribbean,Altus aka Cao Artisan,Altus aka Cao Artisan
1728.0,U.S.A.,2016.0,Peru,Acopagro,60.0,"3- B,S,C","dry, sweet, caramel",3.0,Americas,Northern America,Americas,Latin America and the Caribbean,Altus aka Cao Artisan,Altus aka Cao Artisan
1728.0,U.S.A.,2016.0,Nicaragua,Momotombo,60.0,"3- B,S,C","powdery, sweet, molasses",2.75,Americas,Northern America,Americas,Latin America and the Caribbean,Altus aka Cao Artisan,Altus aka Cao Artisan
1732.0,U.S.A.,2016.0,Ecuador,Gruppo Salinas,60.0,"3- B,S,C","sandy, nutty, earthy, roasty",2.75,Americas,Northern America,Americas,Latin America and the Caribbean,Altus aka Cao Artisan,Altus aka Cao Artisan
1732.0,U.S.A.,2016.0,Bolivia,CIAAB Coop,60.0,"3- B,S,C","sandy, sweet, pungent",2.5,Americas,Northern America,Americas,Latin America and the Caribbean,Altus aka Cao Artisan,Altus aka Cao Artisan
1732.0,U.S.A.,2016.0,Peru,Villa Andina,60.0,"3- B,S,C","sandy, sweet, sour, off",2.5,Americas,Northern America,Americas,Latin America and the Caribbean,Altus aka Cao Artisan,Altus aka Cao Artisan
2044.0,U.S.A.,2018.0,Dominican Republic,Oko Caribe,70.0,"3- B,S,C","sweet, coarse, nutty",3.0,Americas,Northern America,Americas,Latin America and the Caribbean,Altus aka Cao Artisan,Altus aka Cao Artisan
175.0,U.S.A.,2007.0,Venezuela,Ocumare,70.0,"4- B,S,C,V","spicy, strawberry",3.75,Americas,Northern America,Americas,Latin America and the Caribbean,Amano,Amano
129.0,U.S.A.,2007.0,Madagascar,Madagascar,70.0,"4- B,S,C,V","spice, nut, cocoa, fruit",3.5,Americas,Northern America,Africa,Sub-Saharan Africa,Amano,Amano
147.0,U.S.A.,2007.0,Venezuela,Cuyagua,70.0,"4- B,S,C,V","waxy, nutty, mint",3.0,Americas,Northern America,Americas,Latin America and the Caribbean,Amano,Amano
304.0,U.S.A.,2008.0,Indonesia,"Bali, Jembrana",70.0,"4- B,S,C,V","sticky, nutty, high acidity",2.75,Americas,Northern America,Asia,South-eastern Asia,Amano,Amano
363.0,U.S.A.,2009.0,Venezuela,Montanya,70.0,"4- B,S,C,V","hot spice, roasty",3.0,Americas,Northern America,Americas,Latin America and the Caribbean,Amano,Amano
470.0,U.S.A.,2010.0,Ecuador,Guayas,70.0,"4- B,S,C,V","strong spice, intense pepper",4.0,Americas,Northern America,Americas,Latin America and the Caribbean,Amano,Amano
470.0,U.S.A.,2010.0,Dominican Republic,Dos Rios,70.0,"4- B,S,C,V","orange, cinamon",3.75,Americas,Northern America,Americas,Latin America and the Caribbean,Amano,Amano
544.0,U.S.A.,2010.0,Venezuela,Chuao,70.0,"4- B,S,C,V","woody, red berry, sour",3.0,Americas,Northern America,Americas,Latin America and the Caribbean,Amano,Amano
725.0,U.S.A.,2011.0,Papua New Guinea,Morobe,70.0,"4- B,S,C,V","tart, lemon, smoke",4.0,Americas,Northern America,Oceania,Melanesia,Amano,Amano
322.0,Spain,2009.0,Ghana,Ghana,70.0,"2- B,S","dry, chalky, fudge-like",3.0,Europe,Southern Europe,Africa,Sub-Saharan Africa,Simon Coll,Amatller
464.0,Spain,2009.0,Ghana,Ghana,85.0,"2- B,S","roasty,oddly sweet,marshmallow",3.0,Europe,Southern Europe,Africa,Sub-Saharan Africa,Simon Coll,Amatller
327.0,Spain,2009.0,Ecuador,Ecuador,70.0,"2- B,S","waxy mouthfeel, spicy",2.75,Europe,Southern Europe,Americas,Latin America and the Caribbean,Simon Coll,Amatller
464.0,Spain,2009.0,Ecuador,Ecuador,85.0,"2- B,S","fatty, mushroom, off notes",2.75,Europe,Southern Europe,Americas,Latin America and the Caribbean,Simon Coll,Amatller
1964.0,Russia,2017.0,Peru,Platan Bajo,70.0,,"few grits, blackcherry, licorice",3.5,Europe,Eastern Europe,Americas,Latin America and the Caribbean,Amazing Cacao,Amazing Cacao
1964.0,Russia,2017.0,Peru,Maranon,70.0,,"raisins, pungent",3.0,Europe,Eastern Europe,Americas,Latin America and the Caribbean,Amazing Cacao,Amazing Cacao
1145.0,Peru,2013.0,Peru,"Bellavista Gran Pajeten, San Martin",73.0,"3- B,S,C","oily, vegetal, nutty, cocoa",3.5,Americas,Latin America and the Caribbean,Americas,Latin America and the Caribbean,Amazona,Amazona
1145.0,Peru,2013.0,Peru,"LamasdelChanka, San Martin, Oro Verde coop",72.0,"3- B,S,C","oily, vanilla, melon, cocoa",3.25,Americas,Latin America and the Caribbean,Americas,Latin America and the Caribbean,Amazona,Amazona
1498.0,Canada,2015.0,Peru,Peru,68.0,"2- B,S","rich, sour, mild smoke",3.5,Americas,Northern America,Americas,Latin America and the Caribbean,Ambrosia,Ambrosia
1494.0,Canada,2015.0,Madagascar,Madagascar,66.0,"2- B,S","fruity, sour",3.25,Americas,Northern America,Africa,Sub-Saharan Africa,Ambrosia,Ambrosia
1498.0,Canada,2015.0,Dominican Republic,Dominican Republic,75.0,"2- B,S","high roast, high astringnet",3.25,Americas,Northern America,Americas,Latin America and the Caribbean,Ambrosia,Ambrosia
1498.0,Canada,2015.0,Papua New Guinea,Papua New Guinea,63.0,"2- B,S","smokey, savory",3.25,Americas,Northern America,Oceania,Melanesia,Ambrosia,Ambrosia
1498.0,Canada,2015.0,Venezuela,Venezuela,70.0,"2- B,S","sandy, roasty, nutty",3.25,Americas,Northern America,Americas,Latin America and the Caribbean,Ambrosia,Ambrosia
1494.0,Canada,2015.0,Belize,Belize,64.0,"4- B,S,C,L","roasty, brownie, nutty",3.0,Americas,Northern America,Americas,Latin America and the Caribbean,Ambrosia,Ambrosia
75.0,Italy,2006.0,Blend,Toscano Black,66.0,"4- B,S,C,V","red wine, rich cocoa, long",3.75,Europe,Southern Europe,Blend,Blend,Amedei,Amedei
123.0,Italy,2007.0,Venezuela,Venezuela,70.0,"4- B,S,C,V","creamy, fruit, cocoa",3.75,Europe,Southern Europe,Americas,Latin America and the Caribbean,Amedei,Amedei
123.0,Italy,2007.0,Grenada,Grenada,70.0,"4- B,S,C,V",fruity with coffee notes,3.5,Europe,Southern Europe,Americas,Latin America and the Caribbean,Amedei,Amedei
129.0,Italy,2007.0,Trinidad and Tobago,Trinidad,70.0,"4- B,S,C,V","coffee, fruit, woodsy",3.5,Europe,Southern Europe,Americas,Latin America and the Caribbean,Amedei,Amedei
170.0,Italy,2007.0,Blend,Toscano Black,63.0,"4- B,S,C,V","fatty, dairy, caramel, cocoa",3.5,Europe,Southern Europe,Blend,Blend,Amedei,Amedei
123.0,Italy,2007.0,Ecuador,Ecuador,70.0,"4- B,S,C,V","creamy, earthy, vegetal",3.0,Europe,Southern Europe,Americas,Latin America and the Caribbean,Amedei,Amedei
123.0,Italy,2007.0,Jamaica,Jamaica,70.0,"4- B,S,C,V","sandy, woody, spicy",3.0,Europe,Southern Europe,Americas,Latin America and the Caribbean,Amedei,Amedei
979.0,Italy,2012.0,Peru,"Piura, Blanco de Criollo",70.0,"4- B,S,C,V","creamy, raspberry, nutty",3.75,Europe,Southern Europe,Americas,Latin America and the Caribbean,Amedei,Amedei
2092.0,Italy,2018.0,Blend,Nine,75.0,"4- B,S,C,V","sweet, delicate, complex",3.5,Europe,Southern Europe,Blend,Blend,Amedei,Amedei
2088.0,Italy,2018.0,Madagascar,Madagascar,70.0,"4- B,S,C,V","vanilla, mint, roasty",3.0,Europe,Southern Europe,Africa,Sub-Saharan Africa,Amedei,Amedei
2088.0,Italy,2018.0,Venezuela,Chuao,70.0,"4- B,S,C,V","vanilla, nuts, roasty",3.0,Europe,Southern Europe,Americas,Latin America and the Caribbean,Amedei,Amedei
2092.0,Italy,2018.0,Venezuela,Porcelana,70.0,"4- B,S,C,V","nutty, mild roasty, vanilla",3.0,Europe,Southern Europe,Americas,Latin America and the Caribbean,Amedei,Amedei
2434.0,Italy,2019.0,Blend,Toscano Black,70.0,"3- B,S,C","nut, fatty, rubbery, rich",2.75,Europe,Southern Europe,Blend,Blend,Amedei,Amedei
572.0,Brazil,2010.0,Brazil,"Monte Alegre, 3 diff. plantations",60.0,"4- B,S,C,L","creamy, sweet,cocoa,banana",4.0,Americas,Latin America and the Caribbean,Americas,Latin America and the Caribbean,AMMA,AMMA
572.0,Brazil,2010.0,Brazil,"Monte Alegre, 3 diff. plantations",50.0,"4- B,S,C,L","very sweet, bright red, banana",3.75,Americas,Latin America and the Caribbean,Americas,Latin America and the Caribbean,AMMA,AMMA
572.0,Brazil,2010.0,Brazil,"Monte Alegre, 3 diff. plantations",75.0,"4- B,S,C,L","roasty, fatty, nutty, coffee",3.75,Americas,Latin America and the Caribbean,Americas,Latin America and the Caribbean,AMMA,AMMA
572.0,Brazil,2010.0,Brazil,"Monte Alegre, 3 diff. plantations",85.0,"4- B,S,C,L","creamy, red berry, bitter",2.75,Americas,Latin America and the Caribbean,Americas,Latin America and the Caribbean,AMMA,AMMA
1065.0,Brazil,2013.0,Brazil,Catongo,75.0,"4- B,S,C,L","grainy, sweet, poor aftertaste",3.25,Americas,Latin America and the Caribbean,Americas,Latin America and the Caribbean,AMMA,AMMA
1259.0,U.S.A.,2014.0,Dominican Republic,Elvesia,75.0,"2- B,S","chalky, mild fruit, burnt",3.0,Americas,Northern America,Americas,Latin America and the Caribbean,Anahata,Anahata
1852.0,U.S.A.,2016.0,Bolivia,Alto Beni,75.0,"2- B,S","light roast, caramel, cocoa",3.5,Americas,Northern America,Americas,Latin America and the Caribbean,Animas,Animas
1375.0,France,2014.0,Madagascar,Madagascar,75.0,"3- B,S,C","sandy, fruity, short",3.0,Europe,Western Europe,Africa,Sub-Saharan Africa,Ara,Ara
1379.0,France,2014.0,Venezuela,Trincheras,75.0,"3- B,S,C","nutty, mild spice, mild earthy",3.0,Europe,Western Europe,Americas,Latin America and the Caribbean,Ara,Ara
1379.0,France,2014.0,Ecuador,Equateur,75.0,"3- B,S,C","bitter, floral, leather",2.75,Europe,Western Europe,Americas,Latin America and the Caribbean,Ara,Ara
1379.0,France,2014.0,Mexico,Chiapas,72.0,"3- B,S,C","earthy, sour milk, leather",2.5,Europe,Western Europe,Americas,Latin America and the Caribbean,Ara,Ara
1598.0,U.S.A.,2015.0,Nicaragua,Chuno,70.0,"2- B,S","creamy,sticky, peanut butter",4.0,Americas,Northern America,Americas,Latin America and the Caribbean,Arete,Arete
1534.0,U.S.A.,2015.0,Ecuador,"Puerto Quito, heirloom",70.0,"2- B,S","spicy, cocoa",3.75,Americas,Northern America,Americas,Latin America and the Caribbean,Arete,Arete
1598.0,U.S.A.,2015.0,Belize,Maya Mountain,70.0,"2- B,S","floral, strawberry, metallic",3.75,Americas,Northern America,Americas,Latin America and the Caribbean,Arete,Arete
1534.0,U.S.A.,2015.0,Brazil,Fazenda Camboa,70.0,"2- B,S","creamy, rich, rum, roasty",3.5,Americas,Northern America,Americas,Latin America and the Caribbean,Arete,Arete
1534.0,U.S.A.,2015.0,Peru,Nacional,68.0,"2- B,S","floral, nutty, rich cocoa",3.5,Americas,Northern America,Americas,Latin America and the Caribbean,Arete,Arete
1598.0,U.S.A.,2015.0,Dominican Republic,Oko Caribe,70.0,"2- B,S","spicy, brownie, nutty",3.5,Americas,Northern America,Americas,Latin America and the Caribbean,Arete,Arete
1602.0,U.S.A.,2015.0,Ecuador,Camino Verde,75.0,"3- B,S,C","intense, floral, bourbon",3.5,Americas,Northern America,Americas,Latin America and the Caribbean,Arete,Arete
1602.0,U.S.A.,2015.0,Guatemala,Guatemala,70.0,"2- B,S","strawberry, butterscotch, off",3.25,Americas,Northern America,Americas,Latin America and the Caribbean,Arete,Arete
1602.0,U.S.A.,2015.0,Brazil,Fazenda Camboa,75.0,"2- B,S","floral, chemical off",2.75,Americas,Northern America,Americas,Latin America and the Caribbean,Arete,Arete
1908.0,U.S.A.,2016.0,Costa Rica,"Coto Brus, Terciopelo",70.0,"2- B,S","balanced, cherry, choco",4.0,Americas,Northern America,Americas,Latin America and the Caribbean,Arete,Arete
1924.0,U.S.A.,2016.0,Peru,Phantom,70.0,"2- B,S","creamy, complex, balanced",4.0,Americas,Northern America,Americas,Latin America and the Caribbean,Arete,Arete
1724.0,U.S.A.,2016.0,Tanzania,Kokoa Kamili,70.0,"2- B,S","appealing smoke, woody",3.75,Americas,Northern America,Africa,Sub-Saharan Africa,Arete,Arete
1904.0,U.S.A.,2016.0,Nicaragua,Rugoso,70.0,"3- B,S,C","muddy, rich cocoa, raspberry",3.75,Americas,Northern America,Americas,Latin America and the Caribbean,Arete,Arete
1928.0,U.S.A.,2016.0,Dominican Republic,Elvesia,70.0,"2- B,S","dark berry, chocolatey",3.75,Americas,Northern America,Americas,Latin America and the Caribbean,Arete,Arete
1724.0,U.S.A.,2016.0,Trinidad and Tobago,San Juan,70.0,"2- B,S","delicate, simple",3.5,Americas,Northern America,Americas,Latin America and the Caribbean,Arete,Arete
1900.0,U.S.A.,2016.0,Vietnam,Tien Giang,73.0,"3- B,S,C","cashew, roasty, chunky melt",3.5,Americas,Northern America,Asia,South-eastern Asia,Arete,Arete
1904.0,U.S.A.,2016.0,Guatemala,Lachua,70.0,"2- B,S","subtle, mysterious",3.5,Americas,Northern America,Americas,Latin America and the Caribbean,Arete,Arete
1908.0,U.S.A.,2016.0,Honduras,"La Masica, FHIA",70.0,"2- B,S","nutty, green",3.5,Americas,Northern America,Americas,Latin America and the Caribbean,Arete,Arete
1904.0,U.S.A.,2016.0,Ecuador,Hacienda Victoria,70.0,"3- B,S,C","sticky, floral, roasty",3.25,Americas,Northern America,Americas,Latin America and the Caribbean,Arete,Arete
1904.0,U.S.A.,2016.0,Ecuador,Costa Esmeraldas,70.0,"3- B,S,C","chewy, mild floral",3.25,Americas,Northern America,Americas,Latin America and the Caribbean,Arete,Arete
1928.0,U.S.A.,2016.0,Fiji,Matasawalevu,70.0,"2- B,S","smoke, hammy, cocoa base",3.25,Americas,Northern America,Oceania,Melanesia,Arete,Arete
1928.0,U.S.A.,2016.0,Vietnam,Lam Dong,73.0,"2- B,S","earthy, nutty, cardboard",3.25,Americas,Northern America,Asia,South-eastern Asia,Arete,Arete
2024.0,U.S.A.,2017.0,Bolivia,Beniano,70.0,"2- B,S","creamy, bright fruit",4.0,Americas,Northern America,Americas,Latin America and the Caribbean,Arete,Arete
2028.0,U.S.A.,2017.0,Haiti,Pisa,70.0,"2- B,S","long lasting, cocoa",4.0,Americas,Northern America,Americas,Latin America and the Caribbean,Arete,Arete
2020.0,U.S.A.,2017.0,India,Anamalai,70.0,"2- B,S","slight roasty, basic cocoa",3.5,Americas,Northern America,Asia,Southern Asia,Arete,Arete
2020.0,U.S.A.,2017.0,Madagascar,Sambirano Valley,70.0,"3- B,S,C",sour fruit,3.5,Americas,Northern America,Africa,Sub-Saharan Africa,Arete,Arete
2020.0,U.S.A.,2017.0,Vietnam,Ben Tre,73.0,"3- B,S,C","rich cocoa, mild roasty",3.5,Americas,Northern America,Asia,South-eastern Asia,Arete,Arete
2028.0,U.S.A.,2017.0,Peru,Ucayali,70.0,"3- B,S,C","dried fruit, fig, anise",3.5,Americas,Northern America,Americas,Latin America and the Caribbean,Arete,Arete
2254.0,U.S.A.,2018.0,Colombia,Tumaco,70.0,"2- B,S","smooth, nutty, cocoa",4.0,Americas,Northern America,Americas,Latin America and the Caribbean,Arete,Arete
